,code,name
0,SH.600011,华能国际
1,SH.600012,皖通高速
2,SH.600026,中远海能
3,SH.600029,南方航空
4,SH.600094,大名城
5,SH.600188,兖州煤业
6,SH.600190,锦州港
7,SH.600272,开开实业
8,SH.600295,鄂尔多斯
9,SH.600329,中新药业
10,SH.600332,白云山
11,SH.600377,宁沪高速
12,SH.600548,深高速
13,SH.600555,海航创新
14,SH.600585,海螺水泥
15,SH.600600,青岛啤酒
16,SH.600610,中毅达
17,SH.600611,大众交通
18,SH.600688,上海石化
19,SH.600726,华电能源
20,SH.600754,锦江股份
21,SH.600775,南京熊猫
22,SH.600776,东方通信
23,SH.600806,退市昆机
24,SH.600808,马钢股份
25,SH.600860,京城股份
27,SH.600874,创业环保
28,SH.600876,洛阳玻璃
29,SH.600908,XD无锡银
30,SH.600909,华安证券
31,SH.600919,江苏银行
32,SH.600926,杭州银行
33,SH.600936,广西广电
34,SH.600977,中国电影
35,SH.600996,贵广网络
36,SH.601020,华钰矿业
37,SH.601127,小康股份
38,SH.601128,常熟银行
39,SH.601163,三角轮胎
40,SH.601206,海尔施
41,SH.601229,上海银行
42,SH.601375,中原证券
43,SH.601500,通用股份
44,SH.601595,上海电影
45,SH.601611,中国核建
46,SH.601811,新华文轩
47,SH.601882,海天精工
48,SH.601900,南方传媒
49,SH.601966,玲珑轮胎
50,SH.601997,贵阳银行
51,SH.603007,花王股份
52,SH.603016,新宏泰
53,SH.603027,千禾味业
54,SH.603028,赛福天
55,SH.603029,天鹅股份
56,SH.603031,安德利
57,SH.603032,德新交运
58,SH.603033,三维股份
59,SH.603035,常熟汽饰
60,SH.603036,如通股份
61,SH.603037,凯众股份
62,SH.603058,永吉股份
63,SH.603060,国检集团
64,SH.603067,振华股份
65,SH.603069,海汽集团
66,SH.603090,宏盛股份
67,SH.603098,森特股份
68,SH.603101,汇嘉时代
69,SH.603131,上海沪工
70,SH.603159,上海亚虹
71,SH.603160,汇顶科技
72,SH.603186,华正新材
73,SH.603189,网达软件
74,SH.603203,快克股份
75,SH.603218,日月股份
76,SH.603228,景旺电子
77,SH.603239,浙江仙通
78,SH.603258,电魂网络
79,SH.603266,天龙股份
80,SH.603298,杭叉集团
81,SH.603299,井神股份
