cluster,xy-coords,frequency,mediod-structure,vectorization
1,[-2.02576188 -0.50891972],0,....((((.((....))))))...(((.((((....)))).((((((.......))))))...))).....,[0 1 2]
2,[-0.54565769  1.04215309],274,(((((((((...((((((.........))))))........((((((.......))))))..))))))))),[0 2 0]
3,[-1.32911532  0.70655274],0,.(((.(((((..(....)..)))))..((((.........)))).)))........((((.....))))..,[0 2 1]
4,[-0.62449408  1.93201394],68,.((((((((...(((((...........)))))((....))((((((.......))))))..)))))))).,[0 3 0]
5,[-0.58221914  2.87361033],0,((((.((((..((....))..))))....(((...))).....((((.......)))).((...)).)))),[0 4 0]
6,[-0.09553855 -1.24612359],557,(((((((((..(((..........((((((((.(.((((....)))))))))))))...)))))))))))),[1 0 0]
7,[ 0.80072266 -1.40000508],89,............((((((.........)))))).(((.((.((((((.......))))))..)).)))...,[2 0 0]
8,[ 1.72781794 -1.59634517],11,............(((((..(((...))))))))((....))((((((.......))))))...........,[3 0 0]
9,[ 2.67424607 -1.80293655],1,....((((((..........))))))..((((....)))).((((((.......))))))..(((...))),[4 0 0]
