Wavelength,dark skin,light skin,blue sky,foliage,blue flower,bluish green,orange,purplish blue,moderate red,purple,yellow green,orange yellow,blue,green,red,yellow,magenta,cyan,white 9.5,neutral 8,neutral 6.5,neutral 5,neutral 3.5,black 2
380,0.054745777,0.117132943,0.130362525,0.05123929,0.144234675,0.136268951,0.053807993,0.122364925,0.096004948,0.091993695,0.061031217,0.06281745,0.066244793,0.051950585,0.049923225,0.057984715,0.144547292,0.107731417,0.189362217,0.17084875,0.1442082,0.105192122,0.067959987,0.031023515
390,0.058326798,0.1434542,0.17707405,0.05423401,0.198269133,0.17945812,0.053688537,0.164482383,0.114662333,0.116013975,0.061247692,0.062840987,0.078636152,0.053060478,0.048772242,0.054418082,0.195114325,0.141187467,0.254639092,0.232058408,0.192455117,0.13132605,0.076722958,0.031989098
400,0.061163762,0.174529058,0.251009908,0.055990265,0.294433875,0.24689207,0.05325825,0.2285043,0.130582433,0.145608492,0.061923812,0.063336807,0.10158902,0.054199813,0.047593495,0.052161385,0.282593175,0.192468142,0.4226032,0.365066758,0.271839858,0.162597933,0.083881777,0.032279888
410,0.062384768,0.190934808,0.306245083,0.057038865,0.375437525,0.296818991,0.053697168,0.286079308,0.135081783,0.168534442,0.062914752,0.063542248,0.145541458,0.055447223,0.047235858,0.05198452,0.345768775,0.236412617,0.660209283,0.506556725,0.330813775,0.180165683,0.087412565,0.032560003
420,0.062310752,0.195602125,0.3239155,0.057862218,0.408373483,0.3202815,0.054019548,0.327304633,0.133448092,0.178466183,0.063970272,0.063709047,0.19951425,0.05676623,0.04716311,0.052625083,0.361824067,0.2608539,0.810975333,0.567487417,0.350419525,0.185916858,0.08888493,0.032753593
430,0.062070028,0.198997967,0.32993155,0.05895043,0.420949483,0.337084447,0.054518398,0.361082675,0.131591775,0.1730137,0.065928278,0.064418293,0.2443994,0.05856246,0.047354438,0.053983562,0.354323358,0.285502008,0.862117842,0.582695583,0.356918642,0.189533833,0.090442842,0.032821775
440,0.061828535,0.204234933,0.332829108,0.060300085,0.426182217,0.355498211,0.054946857,0.387566683,0.13021055,0.157965933,0.069210055,0.065360397,0.282497125,0.061373238,0.047418793,0.056077268,0.333610425,0.317396925,0.876575717,0.587701042,0.3612314,0.192860833,0.091865875,0.03282255
450,0.061585718,0.2131849,0.330974933,0.06131405,0.426086617,0.381186246,0.055157203,0.399634217,0.128106892,0.138784583,0.074725328,0.065990157,0.309357775,0.065759442,0.046920133,0.059422578,0.305710217,0.35313365,0.884173617,0.590091792,0.363261783,0.194232275,0.092043782,0.032621628
460,0.06154141,0.228423317,0.323423942,0.06227655,0.419323025,0.419126289,0.055676085,0.391569075,0.1250508,0.119131458,0.085489717,0.06693667,0.307589333,0.074834133,0.046072473,0.066588805,0.276226667,0.390235317,0.891035767,0.590992033,0.362969775,0.193783375,0.091350823,0.03248354
470,0.061623115,0.251273267,0.31133905,0.06324507,0.403434992,0.465958912,0.056638237,0.362427692,0.120475833,0.101395433,0.105062267,0.06841267,0.277807708,0.092692155,0.045175252,0.080680693,0.247556158,0.425966492,0.895664058,0.589771167,0.360810025,0.192328117,0.090392672,0.032403562
