Date,Weight,Calories,Fat (g),Protein (g),Carbohydrates (g),Exercise Calories,Steps,Over/Under Cal Budget,Calories by Breakfast (%),Calories by Lunch (%),Calories by Dinner (%),Calories by Snacks (%)
10/1/2014,214.6,2631,80.41,80.35,382.25,229.968,5669,-106.282,11.3,16.9,65,6.8
10/2/2014,217.4,1266,34.34,55.79,173.91,388.281,9526,1435.571,15.1,35.2,49.7,0
10/3/2014,215.4,1177,48.14,59.96,115.06,89,2153,1122.74,16.2,37.8,46,0
10/4/2014,215,3000,0,0,0,641.181,15004,-58.769,40,0,60,0
10/5/2014,214.6,1684,22.05,10.57,67.68,564.239,13286,1180.789,71.3,0,28.7,0
10/6/2014,214.6,1280,52.27,51.66,139.21,281.072,6504,1296.022,18.1,50.7,15.6,15.6
10/7/2014,214.4,2488,78.33,54.23,378.7,281.072,7180,86.122,12.4,9.8,20.6,57.1
10/8/2014,214.8,1816,30.79,39.94,349.15,255.758,5893,734.678,10.5,24.5,11.4,53.6
10/9/2014,213.6,1736,36.28,36.1,312.31,255.758,6069,808.308,17.8,12.4,47.9,22
10/10/2014,212.6,1876,45.31,62.91,269.26,278.452,7044,683.102,16.4,23.7,27.6,32.2
10/11/2014,213,1840,34.18,66.54,297.87,25.3853,410,468.8453,19,0,52.2,28.8
10/12/2014,213.2,1450,50.56,65.92,181.47,25.3853,583,860.6553,5.5,0,52.8,41.7
10/13/2014,213,1229,43.91,31.86,157.02,101.446,2545,1157.246,26.3,55.8,18,0
10/14/2014,212.4,1779,25.45,40.16,217.73,276.881,7057,778.641,18.9,49.2,20.7,11.2
10/15/2014,211.4,1210,21.72,29.94,216.72,276.881,6854,1339.171,25.5,17.7,3.3,53.4
10/16/2014,210.4,1264,29.3,29.41,223.81,225.467,5706,1227.807,21.2,19.4,0,59.4
10/17/2014,209.6,1200,36.44,34.68,177.14,274.523,6972,1335.623,22.4,18.7,41.1,17.8
10/18/2014,208.8,1383,17.11,82.33,208.99,24.8852,530,898.2552,19.4,21.3,54.8,4.5
10/19/2014,209,1172,21.71,37.34,171.55,24.8852,464,1110.3552,42.6,0,18.3,39
10/20/2014,209,1584,14.85,19.17,178.42,298.623,7522,972.413,21.9,37.9,28.5,16.7
10/21/2014,209.6,1203,24.94,28.17,214.05,249.567,6279,1308.397,15.9,20.4,36.6,27.2
10/22/2014,208.4,1269,22.1,25,182.37,198.51,5152,1182.28,18.2,22.5,37.8,21.5
10/23/2014,207.6,1125,25.17,28.9,193.41,197.748,4938,1321.198,21.9,22.6,3.6,49.9
10/24/2014,207.4,1760,48.52,91.66,246.17,222.252,5501,708.502,15.3,13.9,49.1,21.8
10/25/2014,207.6,1498,53.64,27.84,216.14,18,471,749.8,17.9,29.4,27.4,25.4
10/26/2014,206.8,1437,57.47,26.28,213.69,19,488,806.02,8.2,28.5,18.1,45.2
10/27/2014,207.6,2585,97.37,58.76,382.67,231,5792,-336.73,4.5,33.2,9.3,53
10/28/2014,210.6,1342,34.18,39.02,236.98,204,5138,926.61,3.9,26.8,42.5,26.8
10/29/2014,210,1823,104.43,58.81,155.25,196,4926,441.16,10.5,39.1,12.1,38.4
10/30/2014,208.4,2789,101.45,38.28,439.41,240,6012,-533.94,6.1,9,65.3,19.7
10/31/2014,207.2,1359,39.3,75.92,138.8,238,5965,887.55,12.4,49.3,35.3,2.9
11/1/2014,206.4,3825,82.97,94.9,369.42,55,1401,-1585.21,7,22,71,0
11/2/2014,208.4,2085,35.3,104.12,303.47,5,147,167.7,22,11.8,66.2,0
11/3/2014,209.6,1358,32.02,37.05,200.02,256,6434,903.08,22.7,15.8,39.9,21.5
11/4/2014,206.6,1374,39.84,43.83,171.72,240,6036,868.14,19.6,15.6,8.9,55.9
11/5/2014,205.8,1598,44.35,43.46,227.01,185,4654,638.75,16.8,38.8,40.5,3.9
11/6/2014,204.4,893,24.03,39.13,85.38,198,5027,1333.75,34.5,43.1,22.4,0
11/7/2014,204,926,27.54,34.12,105.66,229,5837,1298.88,20.6,44.8,34.5,0
11/8/2014,203.4,4264,231.22,59.17,380.52,80,2052,-2043.2,4.5,41.3,49.7,4.5
11/9/2014,207.6,971,19.91,35.51,128.68,1,37,1276.494,27.6,49.1,4.1,19.1
11/10/2014,206.8,1732,45.74,87.69,168.48,164,4204,511.07,15.5,41.6,29.6,13.3
11/11/2014,205.6,1556,58.46,39.55,210.9,208,5347,678.89,19.8,11.1,53.9,15.2
